Date,Day_of_Week,Academic_Period,Is_Weekend,Meal,Portions_Prepared,Portions_Sold,Waste_Portions,Waste_Pct,Price_UGX,Revenue_UGX,Ingredient_Cost_UGX,Waste_Cost_UGX,Gross_Profit_UGX,Posho_Flour_kg,Beans_kg,Cooking_Oil_L,Matooke_kg,Groundnuts_kg,Rice_kg,Chicken_kg,Offal_kg,Onions_kg,Irish_Potatoes_kg,Eggs_units,Wheat_Flour_kg,Cabbage_kg,Tomatoes_kg
2024-02-01,Thursday,Sem1_Teaching,False,Posho & Beans,191,176,15,7.9,"3,000","528,000","237,699","21,015","269,286",47.6,29.1,3.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-02-01,Thursday,Sem1_Teaching,False,Matooke & Groundnut Stew,127,114,13,10.2,"4,000","456,000","245,288","29,016","181,696",0.0,0.0,3.6,50.6,12.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-02-01,Thursday,Sem1_Teaching,False,Rice & Chicken,138,122,16,11.6,"6,000","732,000","482,663","65,664","183,673",0.0,0.0,5.7,0.0,0.0,27.4,24.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-02-01,Thursday,Sem1_Teaching,False,Katogo (Offal+Matoke),103,75,28,27.2,"3,500","262,500","127,537","49,392","85,571",0.0,0.0,0.0,36.2,0.0,0.0,0.0,15.8,5.1,0.0,0.0,0.0,0.0,0.0
2024-02-01,Thursday,Sem1_Teaching,False,Chips & Eggs,136,121,15,11.0,"4,500","544,500","272,947","35,100","236,453",0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,39.5,211.2,0.0,0.0,0.0
2024-02-01,Thursday,Sem1_Teaching,False,Rolex,185,156,29,15.7,"2,500","390,000","161,663","31,175","197,162",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,182.7,17.8,9.3,7.4
2024-02-02,Friday,Sem1_Teaching,False,Posho & Beans,97,89,8,8.2,"3,000","267,000","120,200","11,208","135,592",24.9,14.7,1.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-02-02,Friday,Sem1_Teaching,False,Matooke & Groundnut Stew,160,140,20,12.5,"4,000","560,000","301,231","44,640","214,129",0.0,0.0,4.6,64.5,15.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-02-02,Friday,Sem1_Teaching,False,Rice & Chicken,171,154,17,9.9,"6,000","924,000","609,263","69,768","244,969",0.0,0.0,7.1,0.0,0.0,32.7,32.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-02-02,Friday,Sem1_Teaching,False,Katogo (Offal+Matoke),65,59,6,9.2,"3,500","206,500","100,329","10,584","95,587",0.0,0.0,0.0,22.3,0.0,0.0,0.0,10.1,3.3,0.0,0.0,0.0,0.0,0.0
2024-02-02,Friday,Sem1_Teaching,False,Chips & Eggs,102,89,13,12.7,"4,500","400,500","200,763","30,420","169,317",0.0,0.0,5.1,0.0,0.0,0.0,0.0,0.0,0.0,29.4,158.4,0.0,0.0,0.0
2024-02-02,Friday,Sem1_Teaching,False,Rolex,328,293,35,10.7,"2,500","732,500","303,636","37,625","391,239",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,342.2,33.4,15.7,13.3
2024-02-03,Saturday,Sem1_Teaching,True,Posho & Beans,101,82,19,18.8,"3,000","246,000","110,746","26,619","108,635",26.0,15.8,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-02-03,Saturday,Sem1_Teaching,True,Matooke & Groundnut Stew,74,62,12,16.2,"4,000","248,000","133,402","26,784","87,814",0.0,0.0,2.1,29.7,7.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-02-03,Saturday,Sem1_Teaching,True,Rice & Chicken,74,60,14,18.9,"6,000","360,000","237,375","57,456","65,169",0.0,0.0,2.8,0.0,0.0,15.3,13.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-02-03,Saturday,Sem1_Teaching,True,Katogo (Offal+Matoke),15,12,3,20.0,"3,500","42,000","20,406","5,292","16,302",0.0,0.0,0.0,5.3,0.0,0.0,0.0,2.2,0.7,0.0,0.0,0.0,0.0,0.0
2024-02-03,Saturday,Sem1_Teaching,True,Chips & Eggs,52,44,8,15.4,"4,500","198,000","99,253","18,720","80,027",0.0,0.0,2.6,0.0,0.0,0.0,0.0,0.0,0.0,15.8,81.7,0.0,0.0,0.0
2024-02-03,Saturday,Sem1_Teaching,True,Rolex,91,70,21,23.1,"2,500","175,000","72,541","22,575","79,884",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,87.5,9.1,4.7,3.8
2024-02-04,Sunday,Sem1_Teaching,True,Posho & Beans,5,4,1,20.0,"3,000","12,000","5,402","1,401","5,197",1.3,0.7,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-02-04,Sunday,Sem1_Teaching,True,Matooke & Groundnut Stew,52,41,11,21.2,"4,000","164,000","88,218","24,552","51,230",0.0,0.0,1.5,21.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-02-04,Sunday,Sem1_Teaching,True,Rice & Chicken,99,80,19,19.2,"6,000","480,000","316,500","77,976","85,524",0.0,0.0,3.8,0.0,0.0,19.0,18.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-02-04,Sunday,Sem1_Teaching,True,Katogo (Offal+Matoke),71,51,20,28.2,"3,500","178,500","86,725","35,280","56,495",0.0,0.0,0.0,25.6,0.0,0.0,0.0,10.2,3.6,0.0,0.0,0.0,0.0,0.0
2024-02-04,Sunday,Sem1_Teaching,True,Chips & Eggs,39,35,4,10.3,"4,500","157,500","78,952","9,360","69,188",0.0,0.0,1.9,0.0,0.0,0.0,0.0,0.0,0.0,11.6,55.8,0.0,0.0,0.0
2024-02-04,Sunday,Sem1_Teaching,True,Rolex,76,62,14,18.4,"2,500","155,000","64,251","15,050","75,699",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,79.1,8.0,3.7,3.1
2024-02-05,Monday,Sem1_Teaching,False,Posho & Beans,115,93,22,19.1,"3,000","279,000","125,602","30,822","122,576",30.2,17.9,2.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-02-05,Monday,Sem1_Teaching,False,Matooke & Groundnut Stew,130,121,9,6.9,"4,000","484,000","260,349","20,088","203,563",0.0,0.0,3.9,51.2,13.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-02-05,Monday,Sem1_Teaching,False,Rice & Chicken,79,72,7,8.9,"6,000","432,000","284,850","28,728","118,422",0.0,0.0,3.3,0.0,0.0,16.5,14.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-02-05,Monday,Sem1_Teaching,False,Katogo (Offal+Matoke),54,44,10,18.5,"3,500","154,000","74,822","17,640","61,538",0.0,0.0,0.0,19.6,0.0,0.0,0.0,8.0,2.8,0.0,0.0,0.0,0.0,0.0
2024-02-05,Monday,Sem1_Teaching,False,Chips & Eggs,125,101,24,19.2,"4,500","454,500","227,832","56,160","170,508",0.0,0.0,6.5,0.0,0.0,0.0,0.0,0.0,0.0,36.0,182.0,0.0,0.0,0.0
2024-02-05,Monday,Sem1_Teaching,False,Rolex,169,144,25,14.8,"2,500","360,000","149,227","26,875","183,898",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,167.4,17.2,8.5,6.6
2024-02-06,Tuesday,Sem1_Teaching,False,Posho & Beans,179,148,31,17.3,"3,000","444,000","199,883","43,431","200,686",45.1,28.0,3.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-02-06,Tuesday,Sem1_Teaching,False,Matooke & Groundnut Stew,158,137,21,13.3,"4,000","548,000","294,776","46,872","206,352",0.0,0.0,4.6,62.2,15.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-02-06,Tuesday,Sem1_Teaching,False,Rice & Chicken,55,48,7,12.7,"6,000","288,000","189,900","28,728","69,372",0.0,0.0,2.3,0.0,0.0,11.4,10.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-02-06,Tuesday,Sem1_Teaching,False,Katogo (Offal+Matoke),94,85,9,9.6,"3,500","297,500","144,542","15,876","137,082",0.0,0.0,0.0,33.5,0.0,0.0,0.0,14.7,4.6,0.0,0.0,0.0,0.0,0.0
2024-02-06,Tuesday,Sem1_Teaching,False,Chips & Eggs,94,89,5,5.3,"4,500","400,500","200,763","11,700","188,037",0.0,0.0,4.6,0.0,0.0,0.0,0.0,0.0,0.0,27.3,137.0,0.0,0.0,0.0
2024-02-06,Tuesday,Sem1_Teaching,False,Rolex,186,156,30,16.1,"2,500","390,000","161,663","32,250","196,087",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,195.1,18.1,9.3,7.1
2024-02-07,Wednesday,Sem1_Teaching,False,Posho & Beans,280,259,21,7.5,"3,000","777,000","349,796","29,421","397,783",66.7,42.2,5.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-02-07,Wednesday,Sem1_Teaching,False,Matooke & Groundnut Stew,140,129,11,7.9,"4,000","516,000","277,563","24,552","213,885",0.0,0.0,4.4,56.1,14.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-02-07,Wednesday,Sem1_Teaching,False,Rice & Chicken,109,95,14,12.8,"6,000","570,000","375,844","57,456","136,700",0.0,0.0,4.3,0.0,0.0,22.8,19.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-02-07,Wednesday,Sem1_Teaching,False,Katogo (Offal+Matoke),112,89,23,20.5,"3,500","311,500","151,344","40,572","119,584",0.0,0.0,0.0,37.7,0.0,0.0,0.0,17.2,5.4,0.0,0.0,0.0,0.0,0.0
2024-02-07,Wednesday,Sem1_Teaching,False,Chips & Eggs,106,93,13,12.3,"4,500","418,500","209,786","30,420","178,294",0.0,0.0,5.1,0.0,0.0,0.0,0.0,0.0,0.0,30.2,162.2,0.0,0.0,0.0
2024-02-07,Wednesday,Sem1_Teaching,False,Rolex,270,232,38,14.1,"2,500","580,000","240,422","40,850","298,728",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,273.3,26.2,13.4,10.3
2024-02-08,Thursday,Sem1_Teaching,False,Posho & Beans,252,242,10,4.0,"3,000","726,000","326,836","14,010","385,154",62.2,37.2,4.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-02-08,Thursday,Sem1_Teaching,False,Matooke & Groundnut Stew,210,190,20,9.5,"4,000","760,000","408,813","44,640","306,547",0.0,0.0,6.4,80.9,21.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
